seconds_after_operational,left_raw_i16,right_raw_i16,status_hex
0.000415,0,0,14211421
0.050415,0,0,14211421
0.100365,0,0,14211421
0.150312,0,0,14211421
0.200260,0,0,14211421
0.250209,0,0,14211421
0.300157,0,0,14211421
0.350093,0,0,14211421
0.400056,0,0,14211421
0.450001,0,0,14211421
0.499949,0,0,14211421
0.549899,0,0,14211421
0.599848,0,0,14211421
0.649796,0,0,14211421
0.699742,0,0,14211421
0.749690,0,0,14211421
0.799638,0,0,14211421
0.849586,0,0,14211421
0.899534,0,0,14211421
0.949483,0,0,14211421
0.999432,0,0,14211421
1.049380,0,0,14211421
1.099327,0,0,14211421
1.149276,0,0,14211421
1.199222,0,0,14211421
1.249172,0,0,14211421
1.299120,0,0,14211421
1.349069,0,0,14211421
1.399016,0,0,14211421
1.448963,0,0,14211421
1.498914,0,0,14211421
1.548861,0,0,14211421
1.598810,0,0,14211421
1.648756,0,0,14211421
1.698703,0,0,14211421
1.748651,0,0,14211421
1.798599,0,0,14211421
1.848549,0,0,14211421
1.898498,0,0,14211421
1.948444,0,0,14211421
1.998393,0,0,14211421
2.048340,0,0,14211421
2.098289,0,0,14211421
2.148238,0,0,14211421
2.198186,0,0,14211421
2.248134,0,0,14211421
2.298082,0,0,14211421
2.348029,0,0,14211421
2.397977,0,0,14211421
2.447924,0,0,14211421
2.497875,0,0,14211421
2.547823,0,0,14211421
2.597774,0,0,14211421
2.647720,0,0,14211421
2.697665,0,0,14211421
2.747614,0,0,14211421
2.797561,0,0,14211421
2.847511,0,0,14211421
2.897459,0,0,14211421
2.947407,0,0,14211421
2.997356,0,0,14211421
3.047304,0,0,14211421
3.097252,0,0,14211421
3.147199,0,0,14211421
3.197148,0,0,14211421
3.247159,0,0,14211421
3.297105,0,0,14211421
3.347060,0,0,14211421
3.397005,0,0,14211421
3.446952,0,0,14211421
3.496898,0,0,14211421
3.546846,0,0,14211421
3.596760,0,0,14211421
3.646741,0,0,14211421
3.696691,0,0,14211421
3.746640,0,0,14211421
3.796588,0,0,14211421
3.846539,0,0,14211421
3.896482,0,0,14211421
3.946429,0,0,14211421
3.996380,0,0,14211421
4.046328,0,0,14211421
4.096275,0,0,14211421
4.146224,0,0,14211421
4.196174,0,0,14211421
4.246119,0,0,14211421
4.296067,0,0,14211421
4.346017,0,0,14211421
4.395967,0,0,14211421
4.445912,0,0,14211421
4.495860,0,0,14211421
4.545809,0,0,14211421
4.595757,0,0,14211421
4.645704,0,0,14211421
4.695653,0,0,14211421
4.745602,0,0,14211421
4.795550,0,0,14211421
4.845497,0,0,14211421
4.895445,0,0,14211421
4.945392,0,0,14211421
4.995340,0,0,14211421
5.045290,0,0,14211421
5.095239,0,0,14211421
5.145187,0,0,14211421
5.195133,0,0,14211421
5.245082,0,0,14211421
5.295030,0,0,14211421
5.344977,0,2,14211421
5.394925,0,0,14211421
5.444876,0,8,14211421
5.494820,0,45,14211421
5.544831,0,92,14211421
5.594778,0,143,14211421
5.644727,0,190,14211421
5.694674,0,196,14211421
5.744624,0,253,14211421
5.794569,0,333,14211421
5.844519,0,366,14211421
5.894465,0,414,14211421
5.944412,0,445,14211421
5.994358,0,453,14211421
6.044313,0,350,14211421
6.094259,0,220,14211421
6.144208,0,104,14211421
6.194157,0,38,14211421
6.244100,0,-11,14211421
6.294055,0,2,14211421
6.344002,0,2,14211421
6.393947,0,56,14211421
6.443897,0,218,14211421
6.493842,0,410,14211421
6.543791,0,548,14211421
6.593745,0,688,14211421
6.643690,0,671,14211421
6.693634,0,584,14211421
6.743583,0,492,14211421
6.793532,0,404,14211421
6.843480,0,314,14211421
6.893432,0,230,14211421
6.943381,0,169,14211421
6.993326,0,328,14211421
7.043271,0,601,14211421
7.093223,0,814,14211421
7.143171,0,863,14211421
7.193116,0,776,14211421
7.243064,0,676,14211421
7.293012,0,579,14211421
7.342958,0,482,14211421
7.392910,0,387,14211421
7.442857,0,295,14211421
7.492809,0,228,14211421
7.542820,0,278,14211421
7.592763,0,434,14211421
7.642716,0,632,14211421
7.692662,0,799,14211421
7.742609,0,760,14211421
7.792556,0,670,14211421
7.842504,0,580,14211421
7.892451,0,491,14211421
7.942402,0,402,14211421
7.992349,0,314,14211421
8.042298,0,232,14211421
8.092248,0,261,14211421
8.142192,0,455,14211421
8.192141,0,736,14211421
8.242087,0,920,14211421
8.292035,2,872,14211421
8.341984,0,773,14211421
8.391930,0,674,14211421
8.441882,0,574,14211421
8.491828,0,478,14211421
8.541776,0,384,14211421
8.591732,0,294,14211421
8.641736,0,311,14211421
8.691693,0,504,14211421
8.741698,0,742,14211421
8.791652,0,799,14211421
8.841651,0,723,14211421
8.891614,0,632,14211421
8.941612,0,542,14211421
8.991566,0,453,14211421
9.041572,0,364,14211421
9.091527,0,277,14211421
9.141531,0,248,14211421
9.191483,0,399,14211421
9.241486,0,663,14211421
9.291733,0,859,14211421
9.341511,0,841,14211421
9.391456,0,746,14211421
9.441465,0,647,14211421
9.491479,0,549,14211421
9.541489,0,449,14211421
9.591500,0,352,14211421
9.641509,0,270,14211421
9.691521,0,256,14211421
9.741527,0,434,14211421
9.791539,0,684,14211421
9.841552,0,831,14211421
9.891563,0,825,14211421
9.941573,0,735,14211421
9.991582,0,645,14211421
10.041595,0,554,14211421
10.091602,0,464,14211421
10.141621,0,376,14211421
10.191632,0,285,14211421
10.241637,0,227,14211421
10.291590,0,318,14211421
10.341594,0,511,14211421
10.391548,0,673,14211421
10.441552,0,687,14211421
10.491509,0,597,14211421
10.541510,0,503,14211421
10.591467,0,407,14211421
10.641470,0,313,14211421
10.691428,0,218,14211421
10.741426,0,139,14211421
10.791377,0,159,14211421
10.841326,0,380,14211421
10.891273,0,593,14211421
10.941221,0,732,14211421
10.991169,0,764,14211421
11.041178,0,687,14211421
11.091190,0,592,14211421
11.141200,0,502,14211421
11.191207,0,413,14211421
11.241224,0,325,14211421
11.291235,0,234,14211421
11.341240,0,273,14211421
11.391254,0,427,14211421
11.441264,0,626,14211421
11.491272,0,736,14211421
11.541281,0,685,14211421
11.591288,-4,591,14211421
11.641304,0,500,14211421
11.691315,0,408,14211421
11.741327,0,315,14211421
11.791336,0,225,14211421
11.841346,0,259,14211421
11.891355,0,420,14211421
11.941368,0,595,14211421
11.991374,0,653,14211421
12.041390,0,599,14211421
12.091396,0,507,14211421
12.141407,0,412,14211421
12.191421,0,318,14211421
12.241429,0,220,14211421
12.291440,0,140,14211421
12.341455,0,95,14211421
12.391466,0,167,14211421
12.441473,0,362,14211421
12.491481,0,486,14211421
12.541496,0,586,14211421
12.591502,0,654,14211421
12.641516,0,578,14211421
12.691524,0,489,14211421
12.741531,0,399,14211421
12.791547,0,315,14211421
12.841555,0,225,14211421
12.891568,0,147,14211421
12.941577,0,113,14211421
12.991585,0,225,14211421
13.041593,0,399,14211421
13.091608,0,561,14211421
13.141619,0,698,14211421
13.191629,0,753,14211421
13.241641,0,688,14211421
13.291652,0,591,14211421
13.341658,0,494,14211421
13.391668,0,396,14211421
13.441679,0,305,14211421
13.491692,0,210,14211421
13.541705,0,159,14211421
13.591712,0,204,14211421
13.641723,0,398,14211421
13.691733,0,545,14211421
13.741745,0,603,14211421
13.791756,0,522,14211421
13.841761,0,428,14211421
13.891783,0,336,14211421
13.941791,0,243,14211421
13.991798,0,167,14211421
14.041810,0,117,14211421
14.091820,0,190,14211421
14.141829,0,419,14211421
14.191841,0,615,14211421
14.241848,0,717,14211421
14.291857,0,675,14211421
14.341869,0,585,14211421
14.391881,0,495,14211421
14.441890,0,405,14211421
14.491902,0,319,14211421
14.541910,0,229,14211421
14.591922,0,162,14211421
14.641932,0,168,14211421
14.691943,0,332,14211421
14.741957,0,515,14211421
14.791961,0,668,14211421
14.841974,0,762,14211421
14.891982,0,706,14211421
14.941997,0,607,14211421
14.992008,0,508,14211421
15.042012,0,413,14211421
15.092032,0,317,14211421
15.142038,0,231,14211421
15.192047,0,189,14211421
15.242059,0,296,14211421
15.292067,0,518,14211421
15.342075,0,726,14211421
15.392089,0,812,14211421
15.442097,0,741,14211421
15.492109,0,649,14211421
15.542123,0,559,14211421
15.592128,0,468,14211421
15.642144,0,378,14211421
15.692151,0,283,14211421
15.742161,0,203,14211421
15.792174,0,313,14211421
15.842186,0,636,14211421
15.892195,0,784,14211421
15.942201,0,746,14211421
15.992213,0,654,14211421
16.042228,0,555,14211421
16.092232,0,461,14211421
16.142248,0,365,14211421
16.192257,0,272,14211421
16.242268,0,209,14211421
16.292279,0,346,14211421
16.342287,0,631,14211421
16.392298,0,859,14211421
16.442306,4,873,14211421
16.492319,0,783,14211421
16.542333,0,688,14211421
16.592340,0,600,14211421
16.642351,0,508,14211421
16.692362,0,419,14211421
16.742371,0,332,14211421
16.792382,0,247,14211421
16.842393,0,179,14211421
16.892402,0,148,14211421
16.942415,0,82,14211421
16.992424,0,-45,14211421
17.042433,0,-109,14211421
17.092447,0,-203,14211421
17.142454,0,-325,14211421
17.192466,0,-451,14211421
17.242475,0,-598,14211421
17.292487,0,-735,14211421
17.342496,0,-842,14211421
17.392506,0,-887,14211421
17.442519,0,-808,14211421
17.492529,0,-713,14211421
17.542541,0,-620,14211421
17.592551,0,-528,14211421
17.642561,0,-437,14211421
17.692574,0,-324,14211421
17.742581,0,-246,14211421
17.792537,0,-412,14211421
17.842537,0,-793,14211421
17.892495,0,-1006,14211421
17.942496,0,-1026,14211421
17.992450,0,-932,14211421
18.042451,3,-829,14211421
18.092414,0,-731,14211421
18.142411,0,-631,14211421
18.192372,0,-535,14211421
18.242377,0,-439,14211421
18.292323,0,-324,14211421
18.342334,0,-254,14211421
18.392337,0,-542,14211421
18.442290,0,-953,14211421
18.492242,0,-1006,14211421
18.542251,0,-918,14211421
18.592256,0,-828,14211421
18.642271,0,-733,14211421
18.692284,0,-642,14211421
18.742291,0,-551,14211421
18.792300,0,-461,14211421
18.842309,0,-359,14211421
18.892323,0,-248,14211421
18.942331,0,-402,14211421
18.992343,0,-875,14211421
19.042353,0,-996,14211421
19.092366,0,-912,14211421
19.142372,0,-813,14211421
19.192389,0,-711,14211421
19.242403,0,-616,14211421
19.292405,0,-521,14211421
19.342363,0,-427,14211421
19.392367,0,-337,14211421
19.442324,0,-236,14211421
19.492321,0,-234,14211421
19.542278,0,-515,14211421
19.592280,0,-784,14211421
19.642235,0,-873,14211421
19.692242,0,-800,14211421
19.742200,0,-706,14211421
19.792198,0,-616,14211421
19.842146,0,-520,14211421
19.892097,0,-427,14211421
